Site,Image,Alt,AI Description,Alt score,AI score,Alt regex,AI notes,AI length,URL,,Rating scale,
balletnova.org,,Ballet class showing dancers in matching turquoise leotards,"Young girls in blue leotards and white tights practicing ballet in a dance studio, stretching one arm forward, focusing intently.",4,4,,,129,https://nyc3.digitaloceanspaces.com/prod-balletnova-web-storage/images/Girls_class.2e16d0ba.fill-1200x600.jpg,,0,Having no alt text would be better
balletnova.org,,National Endowment for the Arts logo,NATIONAL ENDOWMENT FOR THE ARTS - arts.gov,4,5,,,42,https://nyc3.digitaloceanspaces.com/prod-balletnova-web-storage/images/2018-LogoBW-Horizontal-transparent-august2019.width-240.png,,1,Alt text is very bad but possibly better than nothing
balletnova.org,,Reaching New Heights,Young girl in a blue shirt smiling and jumping against a gray background.,1,5,,,73,https://nyc3.digitaloceanspaces.com/prod-balletnova-web-storage/images/BalletNova_is_so_excited_to_be_cel.2e16d0ba.fill-600x400.png,,2,Alt text is poor but provides value
balletnova.org,,to the pointe (1),"Black text ""to the"" with a blue dot and an arrow forming the ""i"" in ""pointe"", resembling a redirection icon or mouse pointer.",3,3,,Not sure if logo or not,125,https://nyc3.digitaloceanspaces.com/prod-balletnova-web-storage/images/to_the_pointe_1.2e16d0ba.fill-600x400.png,,3,Alt text is ok
trustforlondon.org.uk,,1,"A woman with short grey hair, glasses, and a black outfit. Text: ""Ros Bragg, Director of Maternity Action.""",0,5,Bad,,107,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/1_mQAumNW.2e16d0ba.fill-624x400.png,,4,"Alt text is good, might have a mistake or two"
trustforlondon.org.uk,,Bellingham child laughing in ball pit,"Young child sitting in a colorful ball pit with a cheerful expression, wearing a patterned sweater.",3,4,,,99,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/Bellingham_Community_Project_11_GS.2e16d0ba.fill-624x400.jpg,,5,Alt text is great
trustforlondon.org.uk,,Better temporary accommodation,"Raised clenched fist on a yellow and white radiating background with text ""SOLIDARITY equals STRENGTH"".",1,5,,,103,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/Screenshot_2024-01-17_at_10.42.36.2e16d0ba.fill-624x400.png,,,
trustforlondon.org.uk,,"Bromley XbyX Disability Pride, man in wheelchair speaking in front of crowd","Man in wheelchair speaking animatedly, possibly giving an interview or presentation, with video camera in forefront.",4,4,,,116,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/Website_banner_images-7.97d15e78.fill-624x400.png,,,"Observations:
- small images (50*23) - ""corrupted"", processing error
- logo hallucinations (multiple cases of providing a random company name (Intel, Saxo bank, etc.) instead of 'reading' actual logo text
- expectedly bad at reading hand (fingers) gestures
- issues with reading text on low-quality images, along with fantastic results of reading distorted / partially hidden text on objects on high-quality images"
trustforlondon.org.uk,,CoL tracket icon,Stylized outline of a bar graph showing an upward trend with an arrow indicating growth.,1,4,Bad,,88,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/CoL_tracket_icon.height-308.png,,,"Prompt fine-tunes:
- eliminate ""with a transparent background""
- eliminate ""No text included""
- eliminated ""likely""

Include http/https in regex"
trustforlondon.org.uk,,Disability Pride - dancers,"Six individuals sitting on steps indoors, smiling at the camera, with a casual and friendly demeanor.",3,4,,,101,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/JEF00337.2e16d0ba.fill-624x400.jpg,,,
